Random1
First layer
7.0304578982567385+-41.04894759648353: -3.552713678800501e-15
7.915015565679984+15.525997548611974: -8.881784197001252e-16
8.30321868990444+1.9775781949813773: -6.661338147750939e-16
0.16812189707625985+-13.791184368420055: 1.6653345369377348e-16
15.529694975189855+-14.289679693170921: 0.0
-10.260629025550077+-28.602753333507614: 3.552713678800501e-15
24.626529371496645+-0.1459774735048333: -1.27675647831893e-15
9.125552474736235+-11.85600527035097: 0.0
23.957683125811524+33.3520737658086: -3.552713678800501e-15
-2.5034975025484814+-1.7063477704666496: 0.0
-21.55678906605948+11.689572496642029: 0.0
24.480551897991813+0.0438822130177527: -4.85722573273506e-17
-6.01908706238236+-19.02143759114495: -1.7763568394002505e-15
-0.2526471506832793+22.452993068967274: 1.27675647831893e-15
3.181836180247932+-1.0132579355052813: 2.220446049250313e-16
-2.7304527956147346+-0.15370248727025992: -2.220446049250313e-16
27.119377950315798+16.234224288129226: 3.552713678800501e-15
-38.863382359057695+-2.8841552828849943: 2.6645352591003757e-15
-5.950421645708083+8.46982934641653: 0.0
-21.94207409846574+-9.867216569417451: 0.0
-22.222385695137074+1.151415928842598: -1.3322676295501878e-15
10.91073680757175+27.703690243886825: -1.7763568394002505e-15
22.200345918283993+-26.7901385883354: 0.0
7.645424776988361+-5.308966969458788: 0.0
10.280796884885818+-15.600550767864453: 0.0
-3.51186927111989+-10.177973494825588: 0.0
-10.038486857958342+-5.431659761767197: 0.0
0.9881749522099063+-6.80794944300338: -1.1102230246251565e-16
5.00682482562168+43.35360223844502: 2.6645352591003757e-15
31.786063537038743+-4.611946182125635: 0.0
-7.803214490485827+-4.589792670051406: 0.0
-8.173062409189006+-9.940426185834637: 0.0
-31.80929066788319+-13.948890688411373: 1.7763568394002505e-15
-18.113488595023643+48.295991656700124: 0.0
6.190769523819693+5.0101269088772975: 8.881784197001252e-16
20.156779898005496+0.5514747633954716: -3.3306690738754696e-16
-59.44087569640348+33.00293438760706: 0.0
2.1541350814534193+38.61442705145858: 8.881784197001252e-16
-4.209845273015131+-4.747986554106699: -8.881784197001252e-16
20.708254661400968+-16.03283635148844: 0.0
10.857539042588115+-0.8052308348241005: 7.771561172376096e-16
18.889104824296748+5.839031378438262: 1.7763568394002505e-15
3.993582108661556+-15.470146619725538: 0.0
-45.758181356294564+10.079407890699764: 1.7763568394002505e-15
1.240015282018934+3.522120504363236: -4.440892098500626e-16
-32.878588985455885+-1.7906304271903248: -2.4424906541753444e-15
-13.689842765945478+23.44101311429196: 0.0
4.675418309912526+-19.522496953879017: 0.0
-12.393007160537232+-14.84707864396649: -1.7763568394002505e-15
-41.74753764194269+3.9825538947644676: 3.1086244689504383e-15
-27.24008580450372+-34.66921941264621: 0.0
24.524434111009565+-42.19266100892398: 0.0
-8.95783182712183+-18.71988834944961: 0.0
-26.437941308796418+-5.146468462715335: -1.7763568394002505e-15
-31.58440977151175+4.4363564980393795: -8.881784197001252e-16
-34.01848969822679+2.336457807529573: 0.0
-23.112134239390087+2.519407700708447: -1.7763568394002505e-15
2.1685782447426503+1.104941910148097: 0.0
-31.682031890697214+-13.623062471343795: 1.7763568394002505e-15
11.20089643269699+2.374354361240677: 0.0
24.72813620273501+3.2735201548907473: 4.440892098500626e-16
-21.070969766294475+-27.14805327347237: 0.0
4.762135786382171+-37.76498374717823: 3.552713678800501e-15
-5.319753882978635+-8.557145557488708: 0.0
-3.001083364698129+-0.14842811281795487: 1.1102230246251565e-16
-48.219023039766846+-2.759111562048704: -2.220446049250313e-15
-25.040524653527306+3.528728855021706: 1.7763568394002505e-15
-20.59272653868164+-5.819774490793473: 8.881784197001252e-16
-61.90930521714993+-0.8269584210277027: 1.887379141862766e-15
1.4298088040993544+4.5859304608786555: -2.220446049250313e-16
-27.67772017657144+57.309756891620125: 0.0
-35.6787734655948+0.2895842839664271: 2.220446049250313e-16
30.18250306167648+-42.34489500274965: 0.0
7.313785834982043+10.052308207764014: 8.881784197001252e-16
-26.412501029475113+13.575250793937666: 0.0
-3.149511477516084+8.276123533456163: 0.0
